subid,age,age_grp,gender,t1,t2,t3,t4,t5,t6,t7,t8
27,3;11,3,F,1,0,1,1,0,0,0,1
12,3;6,3,F,0,0,0,0,1,1,0,1
19,3;9,3,M,0,0,0,1,1,0,0,1
20,3;9,3,M,1,0,0,1,1,0,0,1
25,4;0,4,F,0,1,1,1,0,0,0,0
22,4;2,4,F,1,1,1,1,1,0,0,0
11,4;5,4,F,1,1,1,1,1,0,0,1
14,4;5,4,F,1,1,1,1,1,0,0,0
21,4;6,4,F,1,1,1,1,1,1,1,1
17,4;7,4,M,1,1,1,1,1,1,1,1
18,4;7,4,F,1,1,1,1,1,1,0,0
24,4;7,4,M,1,1,1,1,1,1,1,1
16,4;11,4,F,1,1,1,1,1,1,0,0
23,5;0,5,M,1,1,1,1,1,0,1,0
26,5;0,5,F,1,1,1,1,0,1,0,0
15,5;4,5,M,1,1,1,1,1,1,1,1
13,5;7,5,F,1,1,0,1,1,0,1,0